"These are the DSM elements we have time series for from CalLite-CV (that's the full name, there's a completely separate model called CalLite naturally). I used the names from your Google Doc (https://docs.google.com/spreadsheets/d/1FpO5moi003WxAz0-RqLlGkueru8lzsOtWV94rKkpzsc). The dates are the CalLite-CV dates: October 2014 in CalLite-CV corresponds to October 1925 in CalSim II in terms of model calibration, for reference. These results are the Outflow elements of each site listed on the Google Doc as of 1 PM 100417 (I saved those matches in another csv called 'matches for master csv.csv'. I left the Delta out of this for now... POTENTIAL PROBLEM: I'm noticing many 0-outflow months for NewHogan which is our Calaveras number. It's possible we could use the Calaveras_River node to get around this, even though it's below the anadromy limit; I think it's only got a 0 in the first month of the model run.",,,,,,,,,,,,,,
date,Upper Sacramento River,Clear Creek,Upper-mid Sacramento River,Feather River,Yuba River,Lower-mid Sacramento River,Yolo Bypass,American River,Lower Sacramento River,Calaveras River,Merced River,Stanislaus River,Tuolumne River,San Joaquin River
2/1/2024 0:00,3250,150,6716.317871,1700,2229.432617,15828.53711,99.86597443,2112.936768,18200.60938,0,158.4746857,1851.037964,275.8226929,3279.336182
3/1/2024 0:00,3250,150,7364.838867,1700,2800.081787,17939.99023,504.6489868,573.7168579,18863.12109,0,218.4903564,714.725647,315.2442932,3302.795654
4/1/2024 0:00,3250,50,7500.510254,1000,3998.438477,19318.77539,1018.391602,5935.804688,26003.61133,0,158.9145203,775.7762451,1316.170654,7301.224609
5/1/2024 0:00,8807.104492,237.0967712,10906.59375,4012.546631,5858.54248,19512.5918,124.1239777,4400.121094,22945.47461,80.45642853,1953.601807,727.1187134,1104.928711,5656.151367
6/1/2024 0:00,17448.15039,150,17153.90039,7053.285645,2962.054199,18986.66992,400.2016296,5438.854004,21292.30469,158.1724701,186.2084198,1093.687134,360.0739136,2307.769775
7/1/2024 0:00,12448.95898,85,12343.20898,8448.507813,1199.662231,15718.80566,1029.102051,2814.794678,16406.00977,170.6802673,159.7347565,462.8977966,379.9739075,1733.438965
8/1/2024 0:00,9544.59375,85,9412.958984,2183.681641,600,7635.722656,1133.369751,1280.792114,7297.087891,151.4309692,392.9086914,397.304657,410.8197021,2447.614746
9/1/2024 0:00,5996.056152,150,6447.310547,3030.450684,600.4367065,8541.056641,977.2396851,1170.388672,9100.771484,106.5401154,445.399231,343.2165833,416.6873474,2264.422119
10/1/2024 0:00,4409.775879,150,4993.544922,3080.589355,571.9691162,9265.632813,541.5085449,1181.874268,10269.52148,24.76288605,247.7501068,633.8082886,504.9145203,2146.044922
11/1/2024 0:00,3777.736328,150,4231.943359,3572.811768,682.2385864,8153.14502,261.3263245,1415.597046,9457.111328,805.5875854,158.1465149,263.2288208,427.9582825,1552.184326
