A,,CALSIM,CALSIM
B,,DEL_CVP_TOTAL,DEL_SWP_TOTAL
C,,DELIVERY-CVP,DELIVERY-SWP
E,,,
F,,2020D09E,2020D09E
Units,,CFS,CFS
Type,,PER-AVER,PER-AVER
679,30Apr1978,5169,4024
680,31May1978,12763,6678
681,30Jun1978,17214,9838
682,31Jul1978,18755,9953
683,31Aug1978,14810,9528
684,30Sep1978,6474,7581
685,31Oct1978,4781,7880
686,30Nov1978,3038,7095
687,31Dec1978,1862,4946
688,31Jan1979,1645,539
689,28Feb1979,2719,225
690,31Mar1979,2242,1123
691,30Apr1979,5274,4398
692,31May1979,12271,6276
693,30Jun1979,16526,8725
694,31Jul1979,17481,8929
695,31Aug1979,13763,8186
696,30Sep1979,6484,6996
697,31Oct1979,3733,6024
698,30Nov1979,2717,6042
699,31Dec1979,1439,4627
700,31Jan1980,1445,923
701,29Feb1980,2363,888
702,31Mar1980,2793,2115
703,30Apr1980,6080,5002
704,31May1980,12395,6238
705,30Jun1980,16482,9117
706,31Jul1980,18319,9324
707,31Aug1980,14589,8953
708,30Sep1980,6814,7696
709,31Oct1980,4503,7186
710,30Nov1980,3216,7028
711,31Dec1980,1631,4640
712,31Jan1981,1609,441
713,28Feb1981,2670,525
714,31Mar1981,2112,744
715,30Apr1981,4877,4362
716,31May1981,11034,6028
717,30Jun1981,15623,7254
718,31Jul1981,16156,8843
719,31Aug1981,12706,5507
720,30Sep1981,6058,4094
721,31Oct1981,3479,4597
722,30Nov1981,2358,8272
723,31Dec1981,1323,3952
724,31Jan1982,1241,935
725,28Feb1982,2177,934
726,31Mar1982,2882,1968
727,30Apr1982,5259,4303
728,31May1982,12978,6868
729,30Jun1982,16490,9849
730,31Jul1982,19128,10210
731,31Aug1982,15411,9732
732,30Sep1982,6150,7756
733,31Oct1982,3802,6890
734,30Nov1982,2714,6755
735,31Dec1982,1730,4824
736,31Jan1983,1660,1498
737,28Feb1983,2739,1490
738,31Mar1983,2881,2226
739,30Apr1983,5032,3931
740,31May1983,12351,6595
741,30Jun1983,16925,9671
742,31Jul1983,19085,10038
743,31Aug1983,15109,9518
744,30Sep1983,6524,7622
745,31Oct1983,4470,7201
746,30Nov1983,2641,6460
